Description,Potential_Accident_Level
"employee reports that upon initiating 615RLC front loading activity, during the elevation of the aerial work platform, a rock fragment from the roof of the gallery was dropped, reaching its face, causing the lesion.",II
"When opened the access ladder of the people carrying Truck the employee had his right hand pressed into the support bracket of the same, suffering a superficial injury.",III
The employee of partner company GR reports that she was cutting watermelon when she injured her 2nd chirodactilo of the left hand with the knife.,III
"The mincing team was carrying out activities in the city of Juína and was coordinated by mining technician Felipe a time when the mining technician was last in line and more away from the team, was bitten by a blackjack on the left side of his face. There was no allergic manifestation and the team continued the work. In the afternoon, after lunch, the employee sought medical care, was medicated and released to continue activities the next day.",I
"At times when the worker was cleaning the long holes of the production mesh in negative, when removing the polyethylene pipe it suffers a clogging inside the drill, which product of compressed air pressure is released by ejecting detritus and fragments of rock inside the hole impacting the worker's forehead causing a cut.",III
"When removing the cap from the wear plate of the Warman LX-BB-01 pump, the left hand of the employee who was with the glove slipped came to have contact with the cutting part of the board.",II
"During the withdrawal of the fixed jaw wedge from the crusher 41BR01, the hoisting device (hook) was broken causing the steel cable of the overhead crane to strike the left hand of the employee.",IV
"On leaving the Company the employee stumbled onto the exit ladder of the building and fell 3 steps, causing twisting of the ankle and grating on the cinnamon",IV
"During ore transport works from OP2 to bines; after having filled the tenth mining car with ore, the assistant positioned on the platform of the hopper OP2 places a wooden board between the pistons of the chain to avoid the fall of fines into the track, at which time a fragment of rock (10cmx8cm x6 cm; 1.4 Kg) rolls by the load and hits the distal phalanx of the fourth finger of the left hand. The assistant at the time of the accident was wearing safety gloves (pad type). The hopper OP2 at the time of the accident was with zero energy.",IV
"In circumstances, the drilling assistants proceeded to assemble the inner tube to the barel; the injured person retracts the inner tube (head) to throw it manually towards the top of the catheter (inclination - 3 °) to continue with the perforation, in that moment the glove of the left hand is hooked in the speart point pushing his left hand until the edge of the box of the barel, originating the injury. At the time of the accident the injured employee used his rubber gloves and the work area was well lit.",IV
"The employee Mr. Nilton made the opening of the visit to unclog, at this moment occurred projection of hot material, occurring the accident.",III
"While maintaining the ramp 604, when placing the first cloth for the overlap with the previous mesh; the operator will check the work front, then return to the back of the team to coordinate with his assistant, at which time a fragment of rock (Weight: 0.42 kg) of the non-sustained area will be detached, which impacts on the arm of the team and reaching by bounce the collaborator causing the injury. The one involved made use of all their EPPs. At the time of the incident the assistant was in the back of the team preparing the support mesh.",IV
"At level 3450 access 4 A2, the operator of the Scissor # 200 performed the support of the crown, at which time a piece of rock (13cmx6cmx2cm; 54g) passes between the cocada of the support mesh, from a height of 1.60 meters, towards the platform of the team breaking into particles one of which reaches his right eye causing the injury.",III
"At level 2995 access # 6 A1 while the operator of the Scissor # 187 carried out the support of the right gable, from the platform it is arranged to place the Split set in the drill in the squat position to be introduced by the bolt, moment in which the which between the cocada of the support mesh falls from the crown a piece of rock (5cmx4cmx2cm; 112gr) from an approximate height of 2m impacting on the cervical region of the collaborator, causing the lesion described. At the time of the accident the crown was held and the collaborator used his safety glasses and gloves.",III
"The employee was performing cutting activity on a carbon steel pipe attached to the band saw machine. Due to uneven weight distribution, the tube moved downward and the other end was projected upwards, pressing the thumb.",III
"The servant would remove the dishes from the bowl of the sink and when picking up a set of plates, there was one of them with the broken / broken edge, causing injury to his 3rd chiropactyl from his right hand.",II
"At times when the collaborator was performing the evacuation of inchancables from the mine, present in Strip ° 1, of Phase he notices a piece of support mesh positioned between the frame and the return belt; After several attempts to remove this mesh, with the belt in movement and using a metal rake as support, the mesh yields moving in the direction of rotation of the return belt, hitting the collaborator's hand against the metal structure, causing contusion in the left hand. At the time of the accident the employee used his leather gloves.",IV
"Once the topographic survey in the Stp. 440 (East zone), the victim and his co-worker, decide to continue with their work in the Stp. 440 (West), for this the injured person walks behind his co-worker (10 to 15 meters), when arriving at the loading zone (intersection Rpa 175 and St 440) the injured person asks the sccop operator to stop to pass, once the equipment is stopped, the victim passes behind his partner stuck to the gable, trying to avoid the accumulation of water, when he takes the third step into the puddle, the injured person steps on the false and falls to the floor, causing the injury .",II
"The employee reports that after carrying out activity in the area of ​​the Expedition was to remove the overalls and had contact with material that contaminated the sleeve, which caused 1st degree burn in the right forearm.",II
"At 22:50 hours in row 12 when the cell suction partner removes the suction hose, untimely splashes of electrolyte solution in the left eye. Immediately he was referred to the medical service.",II
"During the execution of the area cleaning activity using a hoe, the employee hit against a fixed metal structure in the area, coming to reach the abdomen on the left.",II
"Collaborator was cleaning the sink of the Copper repulping area, at the moment of filling the truck with the shovel, he projects sludge towards the lenses; soiling them and obstructing vision. The worker indicates that when removing the lenses to clean them, some mud particles enter the left eye causing discomfort. It is referred to the medical center for the corresponding attention.",II
"The clerk was cutting the excess fiberglass in a passing box and had contact with the blade of the marble saw, which cut the glove and caused a wound in his right hand.",IV
"At level 4150 (+80) Unicon plant the collaborator was doing shuttering work in the concrete water sedimentation basin, at the moment of nailing a wood as it supplies on another 4 x 4 inch strip, he feels that the metallic hammer loosen the wooden handle and to fix it, he grabs the hammer by the head and hits the handle vertically on a wood, generating the injury. At the time of the accident the employee did not use his safety gloves.",I
"On the surface, in the dining room of employees of the unit, while the collaborator performed the chicken habilitation for lunch using a kitchen knife, it comes into contact with the distal part of the second finger of the left hand causing the injury described . During the accident the employee did not use his specific height gloves for this type of work.",III
"During the maintenance work of the vertical pump (8 "") of zinc concentrate, the three mechanics were performing lifting maneuvers to be able to position the pump to the drawer, instants in which the pump becomes clogged by the reduced space of the work area and in order to release the pump they place a young lady in the lower part, at which time she is released and turns untimely, hitting the middle finger of the injured person's right hand against a 12 ""trellex hose.",IV
"In section 75 in row 12 Cell 36, the worker performs anode lifting to correct short circuit, using the auxiliary hoist and nylon sling, at which time the sling is released from the anode and hits the back of the right hand causing it the injury. Worker is seen in the Medical and transferred to a clinic for external evaluation.",IV
the check list of the area of ​​the survey the operator slipped in the foliage of the leucenas and fell.,II
By participating in the general DDS held in the outside area of ​​the central locker room the employee was bitten by a bee.,II
"The employee reports that when performing the maintenance activity of pump on the tunnel of the TC-020, as he was pulling out the rotor, struck the piece with the mallet that slipped from his hand. Reaching the lower part of your left leg, causing the injury.",II
"When trying to release the pipe (HDP pipe, 50m long and 2 ""diameter) stuck in the support mesh, the master loader and his assistant pull the pipe to release it, when the pipe is released hits the lateral part of the cheekbone and the eyelid worker's right generating the described injury.",IV
"In the city of Conchucos, of Ancash, participating in a patronal feast, representing the company, was mounted on a horse as part of the ceremony throwing fruits and toys to the people attending this public event, the noise of the materials pyrotechnics and people trying to collect the gifts caused the horse in front and very close to her horse to be frightened and kicked back hitting the lower limbs.",IV
"employee was removing the strap from a chemical container as it projected toward him reaching his lower lip and anterior chest, the strap was contaminated with caustic soda and caused a 1st degree burn.",II
"When cutting the vegetation to open the bite, using a sickle, the assistant struck the vine twice. When the liana ruptured, the top of the branch projected against the face of the auxiliary causing the cut in the upper lip.",I
"On September 17, 2016 at approximately 8:35 pm, during the preventive maintenance of the G2142 debarking machine, the bearing assembly is made on the anode cleaning roller; When fitting the bearing in its final position, the staff used a chisel and a 4-pound rope to position the bearing. The worker places his left hand near the head of the chisel and warps, in these circumstances a splinter is embedded in the proximal part of the thumb of the left hand, immediately the collaborator communicates to the supervisor and is evacuated to the Medical for review.",II
"Employee reports that he was monitoring the existence of a borehole of a tubing in the thermal recovery boiler of the Ustulation area, through the side window, when he was struck by projection of heated air that reached his face and right forearm.",IV
"Collaborator around 9:00 AM, cleaning the leaves of the return well of the 5021 borehole BRAPDD 0183 slipped on the canvas that was on the edge of the well, hitting the right side of the back against the metal structure of the mud-swathed box causing a slight excoriation. The employee was referred to the local hospital, medicated and released for the activities.",I
"The employee was performing maintenance of the blower, when the residual water projection occurred on his face. In an attempt to remove PPE, the injured person has had contact with contaminated gloves with the right eye causing irritation.",II
"The lubricating technician Alfredo made the oil filling to the reducer D-100, in which, he notices an oil leak (tearing) between the connection of the hose and the reducer, correcting the leak. Once the work is finished, he goes to the lubricants workshop where he removes the gloves and observes that both hands are affected by contact with the hot surface and goes to the medical center where he was treated.",II
"During the maintenance of the access, at the moment the assistant places the mini split set in the adapter, the clamp - which was locked - returns to its initial position hitting the collaborator's hand causing the described injury. At the time of the accident the team was in a sustained area, the arm of the jumbo was at a height of 0.80m from the floor and the employee was wearing rubber gloves.",III
"Employee was preparing rice using a utensil type skimmer to stir inside the pressure cooker when part of the cable broke, reaching its hand causing a blunt cut.",III
In circumstances in which the operator of bolter N ° 8 went down the ladder to the height of the resting platform - at 0.80 m. floor level - slips off balance by hitting your back against the handrail of the operator's door. At the time of the event the injured person used all his EPP's.,IV
"The technician Operator when heading towards the zone of lifting containers of dust of zinc in the Section 50, uses a space between base of tranquera and sardinel, slipping in the edge and raspándose left side of thorax. He was treated at the medical center with local treatment, returning to his work area.",III
"At 14: 55h on 27 September, a worker from Confipetrol carried out industrial cleaning of the outside of the acid reduction tank D2055, to check the progress of the helmet mask; moment that hose pipe was released that was secured with pressure clamp (for water and air), impacting lips",II
"Being 05:30 am. Approximately Marco and Isidro TORRES they were performing the pipe standardization of the CX 771 / CX-983 Nv. 1940; in moments that Marco lifts the air pipe over the spike, this seat and the pipe impacts on the worker's safety guard.",II
"Being at 11:00 a.m. approximately the mechanic was removing the last bolt of the 6 ""nipple in the pump 4115 (lime feeder), reactive area, the mechanic is positioned slightly flexing the legs and performs upward force with both hands, in that moment feels a pain and a spume in the right thigh. The mechanic is evacuated with the help of his colleagues to the medical post.",I
"Being 10:50 a.m. approximately, in the maintenance workshop of the E.E Unicon, in circumstances that two mechanical technicians placed the protective plate (30 kg.) of the Mixkret 111 fuel tank, At the moment of attempting to bolt this protective plate it slips from the hands of one of them falling directly on the instep of the left foot, causing the injury described.",III
"Being 5:15 a.m. in the N. in the NV 1710 CX 018, the mixkret operator was washing the mixkret 116 with a hose with water under pressure, it is necessary to change the location; from the right side to the left and He proceeds to pull the hose then slips and feels that the left foot bends.",II
"After carrying out the supply operation of the zinc powder container using the crane to move it, the employee closed the lower lock of this same container and when making the movement to push the lock made an excessive effort with the thumb of the right hand, causing sprain.",III
During the withdrawal of cathode sample the employee came to press the finger with the tool that cuts the sample.,II
"At the intersection of level 3970 - main road and access to the south ramp, the collaborator, after having freed the tube 2 inches in diameter from the gable, descended holding the pipe on the fourth step of a telescopic aluminum ladder (approximately at 1.20 meters from the floor) at which point another clamping point in the gable is lifted by lifting the tube which pulls the worker causing him to lose balance and fall from a height of 1.20 meters. The described injury occurring.",IV
"In the probe 5068 bore BAPDD00146, around 15:00 hours, the polling assistant Luciano da Silva performing the maneuver of descending rods, led the rod to the gutter, but this when not leaning suitably came to escape the gutter returning toward the easel. His hand had slipped and his little finger was between the rod and the easel. Realizing that the shaft had returned, he released it. immediately, but his little finger was partially hit by the rim of the rod against the easel resulting in a cut. The auxiliary was taken to hospital and attended to, the wound resulted in 5 points and the was released for administrative activities.",III
"At the offices of Incimmet, in circumstances that an environment was being set up to place cleaning materials, a wooden strip was placed between the staircase structure and the container, this strip was not cut to size, so the accident victim He coordinated with his partner to put it under pressure using a hammer while holding with his right hand the frame, this pressure placed strip pushed to that side of the container creating an opening between the corrugated iron and the wall, at that time, continuing to hit the ribbon, This falls causing the wall of the container to return to its initial position, pressing the tip of the little finger of the right hand against the corrugated iron causing the accident.",II
"In the area of ​​equipment inspection, while the staff of the Atenuz EE, trying to remove the hydraulic hammer safety locks of the excavator, the mechanical lubricator holds with his right hand a hat-type chisel while the equipment mechanic hit the chisel with a 2-pound rubber bump to remove the safety, at which point one of the blows falls on the edge of the hat-type protector, causing it to slip and strike the fourth finger of the lubricant mechanic's right hand generating the described injury. At the time of the accident, the lubricator mechanic had put on the gloves type pad.",IV
"Being approx. 23:45 hrs. Mr. Eliseo secondary crushing operator, when retiring to his snack, finds the gate of the chute of strip 6 open, and when approaching to close the gate, in that At that moment, the operator Mr. Samuel who was on the upper platform, coordinates with the operator of the control room the start of strip 6-1, at that moment the start-up product projects a particle (10x6x5cm) impacting on the flange of the gate and projecting to towards the height of the lenses and respirator of Mr. Eliseo.",IV
Employee was doing cleaning near the area of ​​the pneumatic conveyor when he was hit by a drop of sulfuric acid on his upper lip.,III
"Employee assisted in the support of the gate, while the other the tying of the canvas in the frame, and by pressing the rope so that the canvas stretched, the metal structure moved, coming out of the wooden support, falling and striking against the employee's face, causing a cut in the right superciliary.",II
"In phase I, the operator carried out the removal of inchancanbles of the reciprocating feeder, while removing a split set with the support of a rope, the staff supports the left hand on the structure of the protection against falling, it is at this moment that another split set comes out together with the load and hits on the distal phalanx of the fifth finger of the left hand, generating the described injury.",IV
"In circumstances that the assistant of mine was arranging to advance the hose of flexible nylon of 1 ""of diameter, to proceed with the watered of shot fired, positioning itself under a zone with the support deteriorated by the last blasting, moment in which it gives off a block of rock (25cmx10cmx5cm; 3.5 Kg) of the roof of the work of a height of 5.2 meters which when falling hits by rebound in the left leg of the collaborator causing the described injury.",IV
"Inside mine during the diamond drilling of a positive 15 ° drill, in moments when the control tube was rescued with the fisherman, the winch cable breaks untimely developing a whiplash effect and impacting on the left hand of the drilling assistant causing the described injury. At the time of the accident the drilling assistant was on the platform at 1.0m from the frame and was using his Hycron-type safety gloves.",IV
"As the employee cleaned the thermal recovery boiler using an air boom, the hose loosened from the pipe connection, drawing a jet of compressed air toward his right ear, causing impact noise.",III
"In the activity of loading of explosives in front of level 326 GTS, there was a fall of a Rock fragment reaching right arm of the Blaster causing a cut-blunt.",IV
"In circumstances that the mechanical technician and his work colleague arranged to accommodate the spare (Rollover) of the Small 02 on the platform of the cart on the floor, the two squat collaborators decide to push one on each side, at which time one edge of the Rollover imprisons the third finger of left hand against the handle of the cart on the right side, causing the wound on the third finger left hand. At the time of the accident both employees used their respective gloves.",IV
"Once the ore loading in the LT-30 locomotive was completed; the penultimate car derails (7th car), by the presence of fragment of rock in the railway line, (weight of the car with mineral 8 tons), and to get it back on track the mining car, the victim makes use of a metal tube (length 1.20 meters and 4 ""diameter) to maneuver and reposition the mining car; at that moment the metallic tube loses stability and imprisons the victim's hand against the strut of the mining car. The collaborator at the time of the event towards the use of his leather gloves.",IV
"At a time when the heavy equipment operator got on the equipment to check the right front headlight (defective) of the scooptram # 181, position on the rim position # 2 his left leg which slides, causing the heavy equipment operator to fall from a height of 0.60 cm",IV
"In the Alimak chimney of level 2440, the alimakero driller and his assistant are positioned in the main cage with guard heads and proceed to perform the rock untie at the top of the chimney, it is at this time that the teacher perceives a spark of rock in the top and communicates to the assistant so that this prevented, when falling the rock of 1.0x0.80x0.20 m on the guard heads is fragmented and one of the fragments fall on the chain and rebound rubs the operator's right hand generating the described injury.",IV
"In the activity of placing boards on racks for the exchange of fabrics of the filters, one of the plates was inclined, trying to put the plate in the correct position, the plate arm pressed the back of the right hand against the structure of the easel",IV
"When observing the pulp overflow of the overflow reception drawer of the thickener, the filter operator approaches to verify the operation of the C7-26 pump, making sure that it was stopped. So press the keypad to start the pump and not getting the start, proceeds to remove the guard and manipulates the motor - pump transmission strips, being left hand imprisoned between the pulley of motor and transmission belt",V
"Mr. Eriks after having completed the change of guide pole in the conveyor belt 7-1, the collaborator moved to the other side of the belt to remove the tecl, passes under the stairs without getting to observe that in that moment the collaborator Jhon dropped an inchancable of a weight approx. of 15 kg. From the entrance platform to the chute of discharge, at a height of 1.80 meters, the iron grazed him on the forearm, finally hitting his left foot at the height of the instep.",IV
"When igniting the furnace 07 of the battery I, there was reflux of hot gas, reaching the face of the employee.",II
"Approximately at 02:10 a.m. Mr. Wilmer approaches the C150 drying tower for the placement of a blanket, to cover the entrance manhole of the tower; at that moment the manhole cover resting on the railing slides, impacting on his right leg.",IV
"Being the 01:30 hrs, After the cathode goes through the pre estriping, the sheets are detached and bend to the cathode of its position, the operator with the assistant lift the cathode by the head to position it in the tranfer at that moment the detached sheet exerts pressure on the cathode hitting the palm of the left hand of the operator with the head and the transfe, activity is paralyzed and the collaborator is referred to the medical post by the head of the guard.",II
"The workers: César (injured) and Nilton receive the order of their immediate supervisor Román to carry out the assembly activity of a brace (length 4.60 m, approximate weight 50 Kg) of the structure of the Nro belt. 2, said collaborators lift the brace and approach it to the installation point, leaving one end on the ground and the other resting on the corner of the pedestal (approximate height of 40 cm). After carrying out the planning of the work, the injured person lifts the end part that was on the floor to turn and position it for assembly, at that moment the other end falls generating the imprisonment of the fingers of the left hand. Staff is taken to the medical center by the supervisor.",IV
"In the region of Povoado Vista - Martinópole - CE, the employee Fábio de Vieira performed soil collection activities in the field, together with the auxiliaries Manoel da Silva and Diassis do Nascimento, when around 10:00 am, when crossing a fence his glove was attached to the wire and his body projected forward causing a slight twist of the left wrist. The team traveled to the city of Granja and the employee was referred to the hospital for consultation. The doctor did not diagnose a fracture, prescribing remedy for local pain and ice packs. By medical evaluation the employee can carry out his activities normally.",I
"The operator when descending by ladder of sailor of 6 steps, falls to the floor going down of the 3er. step, falling on his back and hitting his head. The worker used the chin strap with the helmet, a safety element that reduced the injury from the blow. He was treated at the medical center with local treatment, referred to the Clinic for re-evaluation.",IV
"Being approx. 3:10 a.m. Mr. Denis made the mesh placed in a ventilation plug up a ladder, while trying to do a wire tie, suddenly had an imbalance due to the manipulation of tools falling from the third step, propiciándose a blow in the right knee and a wound of the wrist of the right hand. Later he was evacuated to the post where he received first aid.",II
The employee reports that upon initiating 615 RLC front loading activity while performing the emulsion preparation for use there was a displacement of a small rock fragment from the ceiling reaching his left forearm,II
"in Level 2900 dining room, the collaborator finished washing tabolas (food containers) of dimensions 52 cm x 30 cm x 20 cm, proceed to order them by pinking the thumb of the right hand in the corner of the aluminum tabola, generating the lesion. The employee at the time of the accident did not have safety gloves.",I
"During the exchange of the shock-bearing housing, the employee used a sledgehammer to hit the pipe. At this stage of the activity the hammer hit the stepladder that was very close, coming to (hand tool) to be projected onto the left hand thumb, which was holding the piece.",III
"After the welder completed the welding work to reinforce the forms in the deepening, he walked towards the distant truck at about 40 mt, at which point the welder stepped on a fragment of rock of 5 cm x 10cm x 5cm approx. which generates that the foot flexes and generates the injury in the worker.",II
"During the activity of chuteo of ore in hopper OP5; the operator of the locomotive parks his equipment under the hopper to fill the first car, it is at this moment that when it was blowing out to release the load, a mud flow suddenly appears with the presence of rock fragments; the personnel that was in the direction of the flow was covered with mud.",IV
"At times when four mechanics performed the removal of a (1TM) engine on a positive slope using a key and a tyrfor, at the time that the 1st welder tightened the key (12 Kg of weight) when pulling the chain the eyebolt that held the Click on the roof of the work is broken transversely causing the fall of the key hitting the helmet of the welder mechanic causing cervical contracture. The tirfor was used during the activity as a second protection to prevent the engine from falling.",IV
"At times when four employees lowered a metal sheet (1.5mx1.8m; m 80Kg) towards the floor from a height of 20 cm., The assembly assistant does not timely remove the hand, trapping his ring finger between the iron and loose earth causing a contusion on his ring finger. The collaborator at the time of the event to use their maneuver gloves.",III
"During the withdrawal of the metal form support screw in the Inside of well 2, when the bolt of the chain holder was loosened, the employee and a helper exerted force on the combination wrench, when the bolt came to loosen immediately, pressing the ring finger of the employee's right hand against the support.",III
"At 18:40 hours, in moments when Mr. Claudio tipper operator readjusted the nuts of the rear tire on the right side of his vehicle, using a wheel wrench and a tube as an extension to generate greater force of torque; which was Mr. Wilber held him in his back; suffers a contusion in the palm of the right hand as the extension to his partner slips from his hands.",II
"When entering the caustic soda containment basin to place the hose to make the suction, at this stage there was steam formation, striking the employee in the right and left calf.",II
"During the activities of revegetation of the slopes of the pit pit II, the employee hitting the sledgehammer on the rods for installation of the lifeline, it hit his right leg, causing a slight excoriation.",II
"When performing the Doosan RB-10 equipment hammer repair, the employee tries to remove the suspenders with the support of a 25-pound rope; At the moment of receiving the blow the brace or bolt causes a splinter to be released, expelling and impacting on the lower left limb causing metal embedding in it. The collaborator did not notice immediately.",III
"Employee reports that he performed an activity in the area of ​​the Ustulación, under the coordination of Maintenance when he was hit by dust from the ustulado, causing irritation in the eye region.",II
"On December 13, the accessories coupling (gun - hose) of the high pressure pump (BAP) was made to clean the demister of the cooling tower G2172. carrying out the complete coupling, they turn on the BAP to start with the start test, at that moment the hose comes off the gun and hits Mr. Emerson who was holding the gun.",II
"Employee reports that when returning the anode to the easel the even bumped into the side of the easel coming to swing and hit his right shoulder, causing bruise.",III
"happened?): During the maintenance of the Bolter equipment; the collaborator uses a carpenter's hammer to be able to remove a link in the chain of advance the drilling machine, in moments that hits on the side of the chain, the partner hits the structure of the beam diverting the path of the hammer causing it to strike his left hand.",IV
"The maid while walking in the electrolysis area, stumbled and fell next to the bathroom in room B.",II
"In circumstances that the operator performed the lifting of an 8-inch vitaulic pipe, this is imprisoned in the structure of the railing of the truck, instants that pushes the pipe with the right hand this returns to its initial position hitting the middle finger of the employee causing a bruise",III
"When performing the movement of the bar to make room and place a calibrator. Mr. Chuquillanqui pushes the bar with both hands turning it, being at that moment imprisoned the middle finger of the left hand against the other bar that was ahead.",IV
"Employee reports that he performed soldering activity when he was hit in the eye region by dust that was found in the thermal insulation, causing irritation.",II
"At the end of the unleashing of saturated material on the talus crest of bank 4318, the rugged taut rope to leave the work area, tension at which moment loose material from the top of the slope crumbles (height of 6m and stool of 3m) projecting a fragment (6cmx2cmx1cm; 26gr) which rubs the right cheek causing the injury. At the time of the event the area was isolated and the collaborator had all the epps corresponding to the activity.",IV
"At level 4150 Geology - Surface, master mine to temporarily repair water leakage from a 4-inch diameter metal distributor, makes a cut of a rim chamber strip of 4cm wide x 100cm long making Using a cutter, his partner stretches the camera when cutting with force the edge of the cutter makes contact with the index finger of the left hand causing a superficial cut. At the time of the event the worker was wearing boss gloves.",III
"Mr. Marcelo withdrew foam from the ajax oven, using the metal spoon to empty it into the foam waste container. At that moment splash of slag residues, impacting the face and generating a surface burn. The worker was wearing a face mask.",II
"Employee reports that when trying to remove one of the plates from the overflow system of the Ustulador oven, the 5th finger of the right hand was pressed between the tool (wrench with extension) and the overflow flange of the Ustulador oven, located behind the performer.",IV
"At 13:40 hours, Mr. Hidalgo, wanting to climb on the starter board to remove the fans, stands on an unstable reel and, when driving, fell frontally at a height of 2.98m.",V
"Being approximately 8:10 p.m. Alpha operator Mr. Ronald was heading to mine when he decides to stop the equipment to accommodate the lights (left side), manipulating the support of the lighthouse, catching his fifth finger of the right hand with the protection grid and support.",IV
"At 13:40 hours, Mr. Jose performed the erasing of the earthenware of section 30, when turning on the machine of alizado (ironing) of concrete, this tour abruptly imprisoning his left hand between the command of the equipment and the metal structure, causing an atriction in the back of the left hand.",II
"In the volvo workshop at the time of cutting steel plate (thickness 1 in), for the installation of the MT-32 scoop lip, with Oxicorte equipment, the injured feels a discomfort in both eyes. At the time of the accident the collaborator made use of his full Epp, but the soldering iron lens did not make full adjustment for the presence of the respirator.",IV
"During the mechanized support activity in the level 3450 - Tajo when lifting the support mesh on the platform of the Scissor equipment, the employee with a stumble feels a pain in the heel of the left foot.",III
"During the preparation for the scaffolding activity, the employee was loading the pieces to the designated place where he had his finger pressed between the metal pieces that were being moved.",I
"When making the change of support of the vertical pump of 6 ""(40357 Zinc two mechanics raised a beam in"" H ""(4"" x 2.7 m and 45 kg.) One at each end and being at the height of The injured person's knee slips from his hands causing the injury described.",IV
"At 11:25 a.m., the deslaminator stops untimely, then the operator lowers and locks the machine to verify the failure, detecting locking of the sheet between the basket and the manipulator. The operator tries to arrange the sheet manually and when pulling the sheet, this one cuts the palm of the right hand with the edge of the sheet, is referred to the medical center for attention.",III
"Employee performed withdrawal of electrical failure in the engine control drawer of the TQ 14 A, after the check and exchange of fuses, it closed the door of the drawer and energized the drawer, at this moment an arc was opened, reaching the face and part of the employee's forearm, causing minor burns.",IV
"In circumstances where the worker hit the support of the drill beam advance cylinder to align the base of the beam with the holes of the beam and place the bolt, mechanical hammer slips and by inertia the mechanic's hand hits the edge of the beam causing the injury. At the time of the accident the employee had all the PPE for this activity.",III
"At level 2995 access # 7, Scissor # 187 performed the sustaining activity, drilling the drill to install the Split when lifting the electrowelded mesh of 12 square meters (6m x 2m), weight 21 kg. Approximately to the team's platform, the assistant slips and feels a pain in the inner edge of the right knee.",III
"The auxiliary of general services I, Paulo e Silva, with 5 months and 10 days of work, was performing the activity of soil collection. During the movement of equipment to the next point, holding a lever, it encountered a piece of sloping ground and with interlaced vegetation, which caused the fall of the to the left, the same side where the tool was held. The rapid fall prevented the employee from leaning, causing a shock of the elbow with the ground. The employee continued the activity for another 3 points of sample collection until he felt the arm bothering.",IV
"During the reduction activity in the tube, the employee attached the tube to the walrus, and when he hit the tube with the hammer, he untied the walrus by reaching his finger.",II
"During the activity of settling of concrete blocks for the ventilation plug wall in the CX-943 of level 3590, in circumstances that the worker made the setting of the union between concrete blocks, a polyethylene pipe of 2 ""diameter was picks up the spike and when it hits it hits the top of the worker's protector.",IV
"At level 3450, Tajo area 2; after completing the drilling of drills for loading; the operator removes the bit from the jumbo arm and walks towards the crew cabin; from the crown of the work a fragment of rock that passes through the cocada of the mesh of 3 ""and impacts on its helmet and rebound hits the right shoulder of the operator, generating the described injury.",III
"Upon approaching the furnace that was in the process of melting the Zn ingot, it was struck by liquid metal projection.",IV
"During routine slimming activity of the kiln 8 of the battery 1. The employee began to remove the waste inside the crucible with the aid of a skimmer, felt pain in the left shoulder.",IV
"At 15:05 hours, Mr. Cesar Tello-MOINSAC, was carrying out the work of assembling the water line, for that he climbs up the cat ladder and at an approximate height of 2.5 meters he vanishes and falls, hitting himself on the way, being transferred to the medical center for his attention.",IV
"When manipulating materials on the master drill truck, the operators decide to make space by moving a radiator, at that moment the driver of the truck is imprisoned the little finger of the left hand against the bar.",III
"Employees engaged in the removal of material from the excavation of the well 2 of level 265, using shovel and placing it in the bucket. During the day some of this material fell into the pipes of the employees' boots and the friction between the boot and the calf caused a superficial injury to the legs.",I
"Being 4:15 a.m. on the 179th block of Nv 1880 Ob 2, at the moment that Messrs. and Roger (injured), cleaned the 14th drill of the radial mesh that was in an inclined shape in the right gable, moment that detaches fragments of rock of 5x5x2 cm. impacting the shoulder.",IV
"Employee was transiting the GRS area when he came to slip, suffering a twist in his left knee.",III
"On 01/24/2017, at 12:25 a.m., during the activity of collecting soil, the collaborator Milton ran into a branch and was attacked by maribondos. He was bitten twice in the head. No pain, swelling and no allergic symptoms continued with their activities.",I
"During the process of loading drills in the Carmen pit of level 3450, the operator positions the basket of the anfo loader 186 equipment at a height of 3m from the floor to carry out the loading of the production drills; At this moment, a stone slab of 1.4x0.7x0.2 m is detached from the front of the pit, which is tilted and lodged inside the basket, trapping the right leg of the collaborator.",V
"Being 00:10 am at times when the collaborator was passing a tubo ""PVC pipe to the loader to uncover the fifth hole that was obstructed by a piece of rock. The operator of the Jetanol accidentally activates the air valve, causing the loading pipe that was in the floor to rise suddenly throwing prils of anfo (excess in pipe) on the cheekbone and eyelid of the right eye of the victim.",III
"In circumstances that the tipper MV-01 of the EE Mceisa, moved of the Nv. 3120 to Nv. 3300, the operator sees a congestion of equipment in front of his unit in the Ramp 990 - at a distance of 80 meters. of access to the Nv. 3300, which is why he decides to get off the cab by turning off his vehicle, when suddenly he slides off the second rung that is 0.70 m from the ground, hitting the right forearm region against the fender and the same rung.",III
"At the moment of entering through the mouth of Tunel 3600, the employee moves on the left side of the locomotive LT-18 (locomotive of personnel transfer that was stationed at the entrance of the mouth) without noticing the protruding abutment of said locomotive at the bottom hitting his right knee with the metal stirrup. It should be noted that the operator continued his duties during the watch without reporting what happened. At 2:30 a.m. The extraction supervisor, upon noticing the discomfort of his partner in the knee, immediately evacuated him to Natclar after reporting to the control center.",III
"During the assembly activity of polypropylene pipe with 4 ""diameter, the employee stepped on the pipe flange, it twisted his right foot.",III
"Upon entering the mine interior; the bodeguero is located only in the litorina N ° 13, last of the convoy; during its displacement, the litorina derails and advances approximately 15 meters; it is when the operator observes this event and before entering through the entrance gate paralyzes the displacement of the convoy. The winemaker had his full EPPs on.",IV
