Description_preprocessed,Potential_Accident_Level
when checking voltage at the power outlet of the the plug and socket to get sure the connection wa correct when there wa a small electrical arc in the power cord causing a slight burn in the right hand of the protection system acted immediately,V
the ground team coordinated by prospector with his assistant da silva and will 1 in a prong opening to access and collect soil sample auxiliary came across some he tried to divert about 10 meter to the right of the area but at the moment after the diversion he came across the marimbondo house in front of him not giving time for any other action since the thug were already agitated da silva 5 time a sting in the head another behind the neck and other 3 sting in the face since all have allergy test it wa verified that there wa no allergic reaction washed the affected part and returned to normal activity,I
in the geological reconnaissance activity in the farm of my lizard the team composed by felipe and divine de moral in normal activity encountered a biliary forest a they needed to enter the forest to reach a rock outcrop which wa the front the divine realized the opening of the access with machete at that moment took to bite from his neck there were no more attack no allergic reaction and continued work normally with the work completed leaving the forest for the same access the divine assistant wa attacked by a snake and suffered a sting in the forehead at that moment they moved away from the area it wa verified that there wa no type of allergic reaction and returned with normal activity,I
the clerk wa peeling and folding a sheet came another one that struck in his ith chirodactile of the left hand tearing his pic sleeve open a cut,III
during the process of washing the material becker the tip of the material wa broken which caused a strain of affected ith finger of the right hand,III
in circumstance that the collaborator performed the cleaning of the ditch 3570 050 bp deep removing the pipe of 2 hope material with an estimated weight of 30 keg together with two collaborator when pushing the tube to drain the dune the collaborator is hit on the lower right side lip producing a slight blow to the lip at that time of the event the collaborator had a safety helmet glass and glove,II
being approximately in the no 1800 in the tecnomin winery my chagga bodeguero wa alone cutting wire no 16 with a grinder previously he had removed the rubber guard from the disk of 4 inch diameter diameter and adapted a disk of a crosscutter of approximately 8 inch originating traumatic amputation of two finger of the left hand,V
during the field trip on it 01 of the lake target junior da costa official stepped on a wooden stump that wa on the ground approximately 5 am which pierced his boot wounding the sole of the right foot at the time of the accident the employee wa using all the pie required for official activity and had his shoes free the employee wa taken to the hospital where he went through medical care and wa released to return to his activity the next day of work,II
at level 2900 during the ore hauling activity with locomotive from the op to the line at time when loading convoy wa traveling through the hopper of the op the assistant motorist who wa riding in the saddle holding the pole is struck weakly by a split set which wa suspended in the hop pipeline in the gable the work at 165 meter from the floor at the time of the accident the assistant wa wearing all his safety equipment and wa wearing a seatbelt at the time of the accident the split set only accompanied the movement path for the convoy,III
the soldier who work for an electrician in the management of electrometallurgy suffers contusion in the right leg when suffering a slip at the height of step 3 of the staircase with code ele81040 abb furnace cat ladder immediately he is referred to a collaborator to the medical service to be treated,I
at time that the worker technician and my orlando of bolted 2 and cia wanted to pas the hand stacker by a sardine the technician pulled the hydraulic arm while mr wa pushing behind the nail of the equipment when reaching the trench the rim is tied and the team turn forward falling on the technician,III
in circumstance where the employee made the connection of the phone cable of the no 08 jumbo the operator feel discomfort in the face cleaning with the hand while using the rubber glove generating a superficial laceration small wound on the left only,I
in phase iii of the concentrator plant the maintenance personnel carried out the removal of transmission belt from the flotation cell of pub cleaning at the moment the mechanic removed the belt he lean on his left leg which slide through the grating floor leaving his foot between the two pipe generating the lesion described the work they carried out at the floor level and at the time of the accident the staff had put on their safety equipment,III
at approximately on 080616 the operator eustaquio fall down from the metal platform that give access to tank d1021 of that strong acid leaching stage and suffers luxofractures in the wrist left when leaning on the floor with his hand the operator wa directed to the first tank of the strong acid leaching line to d2040 to verify the entry of spent to the toque,IV
project of vacant that carried out sediment collection of current in the south of mata target in the drainage of serra do garrote team in wa composed of 04 member of the wa company being the si leaner and jehovanio they were moving from one collection point to another inside a shallow drainage they saw the bee carton the reaction wa to move away from the box a quickly a possible to avoid the sting they ran about 50 meter looking for a safe area to exit the trap of attack of the bee but the is and brent were attacked and consequently they suffered 02 sting in the belly and jehovah in the hand verified that there wa no type of allergic reaction returned with the normal activity,I
the employee report that he wa working with brushcutters near broad stone when the blade for the equipment collided with a piece of metal that wa projected toward his leg causing injury to his left leg,III
once the mooring of the candle in the detonating cord ha been completed the injured person proceeds to tie the detonating cord into the safety guide slow wick at a distance of 20 meter from the top of the work at that moment to finish mooring a rock bank ecm i ecm x ecm 675 keg the same front from a height of 160 meter which fall to the floor very close to the injured subject in several fragment one of which 12cmx10cmx3cm 20 kg slide between the fragment of rock and impact with the left leg of the victim at the time of the accident the operator used his safety boot and wa accompanied by a supervisor,IV
during the activity of construction of wall stopper with mortar block to improve ventilation in the intermediate zone in moment that the bricklayer assistant wa passed to complete the construction of the 305m high wall part of the hall 12 block 15 keg per block fall towards the scaffold so the mason assistant jump towards an accumulation of sand located on one side to avoid being hit by the block during the fall the injury described occurs at the time of the accident the mason assistant jump from a height of 140 i from the floor of the work and used his personal safety equipment which reduced the impact of the fall,IV
the geology and the auxiliary elisa traveled to evaluate geological point following the gas near some drainage following the state highway that give access to the aripuana location they stopped and got out of the van to see the point identified in the gps renato when distancing himself about seven meter from the vehicle following the road wa surprised by four bite of thorn on his face and neck quickly he hurried back to the vehicle moving away from the place the clerk wa wearing a girdle and goggles he still wa not wearing glove a he would not enter the forest area there wa no allergic reaction,I
geologist and auxiliary admir traveled to the field to evaluate geological point following the gas near some drainage following the state highway that give access around aripuana area stopped and got out of the vehicle to see the point identified in the map mario when distancing himself about five meter from the vehicle following the road wa surprised by two bite of thorn on his face quickly he hurried back to the vehicle moving away from the place the clerk wa wearing a girdle and goggles he still wa not wearing glove a he would not enter the forest area there wa no allergic reaction,I
the safety and technical moved to the field for inspection activity on the way to the field paused together with the other two team in order to know the drainage point to be checked the safety at getting out of the vehicle wa struck by a sting of a thorn in his neck quickly returned toward the vehicle and made radio communication with the other two team which distanced themselves from the place the clerk wa wearing legging and glass there wa no allergic reaction,I
auxiliary and geologist traveled to the field to evaluate geological point following the gas near some drainage following the state highway they give access to aripuana area stopped and got out of the vehicles to see the point identified in the gps admir distancing himself about five meter from the vehicle accompanied by the geologist mario wa surprised by two bite of blow on his neck quickly he hurried back to the vehicle moving away from the place the clerk wa wearing a girdle and goggles he still wa not wearing glove a he would not enter the forest area there wa no allergic reaction,I
while traveling in the field in order to make geological mapping the geologist mantel went wa accompanied by the prospector marcos stooped to deviate from a vegetation at that time received three whistling sting being them two on the face and one on the neck there wa no allergic reaction and activity followed normally after the event,I
when moving in the field to make geological mapping the prospector marcos who wa accompanied by the geologist mantel stooped to deviate from the vegetation at that moment received a burning sting in the ring finger of his right ear there wa no allergic reaction and activity followed normally after the event,I
at approximately the operator paulo rico of the filter informed the autoclave operator via radio of a leak on the side of the glass the autoclave iii feed wa stopped by the control and official georgi and renato initiated the procedure for closing the autoclave transfer valve for flash ti soon after there wa a break in the chicken projecting pulp hot and reaching three employee who were inside the room near the equipment,V
the operator of the scissor 187 leaf his equipment parked at level 2995 acc 7 due to electrical problem when flight maintenance personnel arrives the operator climb on the control platform of the equipment and performs the verification of the hydraulic system confirming the problem then in coordination with the mechanic decide to perform the test with the diesel system moment in which accidentally activates with the body the arm movement lever causing the drill arm to move downwards generating the left hand patrician against the support of the pivot tube generating the lesion described at the time of the accident the electrician wa alone on the control platform while the mechanic wa at ground level observing the pressure on the diesel system pressure gauge,IV
when the mechanical crew proceeded to perform the maintenance under motor support of a tipper he decided to bring a wooden block for which he moved to the temporary storage of material located at 10 i of the tipper in circumstance in which he sought the cue the camera of a tire burst suddenly it wa on the right and 2 m of the involved the thunderous sound affected the right ear of the worker the tire that exploded ha 110 psi of pressure approximately at the time of the event they were stacked 3 pneumatic the second wa the one that exploded presented cut place where the energy wa released the tire that wa in the upper part wa not projected the tire were left by the previous guard night shift the storage area doe not have a roof in the place of the event only the affected mechanic wa located at am and at a distance of him there were other worker in the area 5 truck were parked none of them suffered damage to the glass,III
in level 2930 access sigma camera roof at time when the piqued civil operator looked for a stillson key of 12 inside it metal tool box open the metal lid am i him x him 5 keg of weight with both hand then push the lid backwards positioning your right hand near the base of the lid causing an concentration of your fifth finger between the lid and the structure of the box at the height of the hinge towards the time of the accident the employee wore the glove which reduced the consequence of the injury,III
when handling a lever to move the sludge some employee moved it by making a pendulum movement and bending his chin,II
during the change of rim position 1 of the jumbo 15 at moment that the mechanical technician with the support of the electrician disengaged the bolt when loosening their fourth nut with the help of a lever metal tube 1 diameter him of length and a weight of 55 keg this bouncing effect returning to the initial position hitting in the palm of the left hand the electrician technician causing the injury the employee at the spot of the accident used their pipe including leather glove,III
in circumstance in which the operator of the scooptram proceeded to sit on his equipment when closing the door he take his right hand off the handrail and place it close to the door hinge which when closing removed part of the worker middle finger the manufacturer at the time of the accident made use of leather safety glove,IV
in plant while doing work on geo pump reducer i 1 when accompanying the rotation of the shaft of the reducer with a mixed key of 716 the wrench crown hit against the housing of the geho pump attributing the union area of the bridge and fourth finger of his welder right hand causing the injury at the time of the accident the equipment wa blocked and the employee used his leather glove,IV
in access 2 of level 3910 during the installation activity of hydraulic filling pipe of 4 diameter when installing a section 80 i to a height of 56 m with reference to the floor the master of hydraulic filling accident and partner partner suffers an attrition of the right hand between the upper edge of the scoop lamp and the roof of the work generating the injury at specific time of the accident the employee used his rubber glove,V
answered my frank with the support of another mechanic wa preparing to place on the floor a wood part called the rear bridge of the forklift at that moment the part moving part move generating a blow to the middle finger of the left hand,IV
at level 3490 gallery 447 after performing the manual unlocking on load one worker prepares to cut the sacrificial mesh that wa exposed after the previous turn shot placing himself under it with a inch shear when cutting the fifth suddenly strained wire of the mesh return to his face casionandole of injury described during the activity the worker used his safety glass,II
in circumstance in which the adjutant of the scissor bolter came down by the team ladder last step it slide from an approximate height of 09 i and fall sitting on the floor at time time of the accident the team involved in the use of the helmet there were no rock or material in the crash site,II
at moment when the paper truck of plate fit 878 kilometers from the city of paso to the unit transporting a consultant being 350 meter from the main gate his lane is invaded by a civilian vehicle making the driver turn sharply to the side right where wa staff of the company improve doing hot melt work in an 8 pipe impacting two collaborator causing the trouble described at the time of the accident the truck wa traveling at 37km i according to inching the width of the road is of 6 meter the activity had safety cone a a warning on both side of the road and employee used their respective epps,V
being 1025 million approx bring the operator fernando during the opening of wagon find a hardened stake and us a bar of approx him to remove it at that moment he press the bar and hit his hand,IV
during execution of drilling on the target bolt brjcldd0006 made by the company servitecforaco probe 25 at 0945 on july 9 2016 the official josiah luis silva in the moment of the maneuver to fish material when removing the feeder of water during movement of the winch realized that the safety chain wa loose and could curl in the rod in performing the chain removal movement he placed his left hand between the hose and the cap of the hydraulic plate with the unlocking of the inner tube there happened an abrupt movement of the chain pushing his hand towards the hydraulic plate causing an injury to the ring finger of this hand the lesion caused a cut in the ith quirodactyl with a need for suture of 3 point to close the cut,IV
the operator of the paste filling plant 01 remove a floor grating 60 i 90 am to clean the lower floor it is removed to close the water valve and doe to block the vacuum the two technician who were entering the filter room notice an overflow and ask the operator to reduce the load the mechanic kept walking without noticing the floor and one of them fall into the void impacting his foot left at an angle that wa about 25 cm below the floor grating producing the injury,IV
the accident occurred at the time an employee of the partner company of carried out unloading operation of bladder bag by cutting the bag for charging to the boom into the silo truck delivery mouth the inner plastic bag surrounding the content abruptly dropped and a large amount of material fell onto the cone funnel the cone fell over and the injured man stood with his leg pressed into him and the body guard of the scaffold there wa external medical attention and it wa verified that there wa no fracture,IV
at level 2900 at the entrance of the locomotive workshop the welder proceeds to inspect the mining car and identifies also the no 24 car ha bearing problem informs his partner about this finding and decides to enter the car to the workshop so it operates the swing arm type mona of 15 keg of weight to move the direction of the railway towards the central op is at this moment that push the rocker with the weight of his body until his right hand come in contact with the rock as the injury described at the time of the accident the worker wa wearing the safety glove of pad,II
when handling a sample in the laboratory the sleeve off the lab coat had contact with nitric acid absorbing a small amount that came to reach the left forearm causing a est degree burn,II
at level 3490 gallery 239 during the holding activity with the bolter equipment no 24 the operator performs the drilling of the first hole to support the right gable when the 7footdeep drill wa about to end the drill rod break leaving the thread inside the drilling machine shank the operator and his assistant decide to make two empty percussion attempt to free the thread of the shank without success in last third attempt the assistant enters a 38 corrugated iron to the central hole of the rest of the bar embedded in the shank to generate pressure it is at this moment the operator activates the percussion and generates a movement of the shank which hit the palm of the victim left hand generating a described injury the worker wa wearing safety glove at the time of the accident the end of the corrugated iron in contact with the left hand is shaped like a cane the worker at the time of the accident wa stands under a roof supported with mesh and split set,IV
at 2115 hour on 07182016 the collaborator warring welder when trying to inspect a cracking point in the inlet of the g2143 laminator slip and fall to the same level but his face and hand he wa immediately transferred at the medical service for evaluation,III
investigation employee report that he wa draining ammonia used a a refrigerant into a container in water when splash of the solution drained onto his face,III
at the eusebio bridge there wa did sudden braking in which several car had to brake quickly the collaborator car failed to stop in time and collided with the rear of the car ahead they covered about 40km hour,II
without torch using activity of the new evaporator treatment fixing there wa a rupture of the hose near the torch pen causing the injury,II
around time when the mill operator proceeded to remove the italic flange connecting the suction pipe to the pump housing ab with the intention of demanding the system when removing the flange the mineral pulp come out under pressure and impact on the face and wrist of his left hand generating the lesion described at the time of the accident both the secondary mill no 4 and two pump a and 8b were blocked for maintenance work and the mill operator used his safety glass,IV
at level 3390 access 2 area 2 the operator of the scissor team no 200 wa preparing to present the second mesh to continue with the support of the work when the operator pull the support mesh to share it length equally on both side of the equipment it realizes at this moment that from adjacent roof of the work a rock weighs approximately 400 keg which fall on the support mesh and slide towards the right side spoiler a a result of this the mesh push the operator who is kneeling on the floor of the platform which generates the lesion described the rock falling doe not directly impact the operator who wa in a squatting position the operator move away from the area walking by his own mean and is supported by the assistant,IV
employee report that upon firing 615rlc front loading activity during the elevation of the aerial work platform a rock fragment from outside roof of the gallery wa dropped reaching it face causing the lesion,II
when opened the access ladder of the people carrying truck the employee had his right hand inserted beneath the support bracket of the same suffering a superficial injury,III
the employee of partner company go report where she wa cutting watermelon when she injured her thumb chirodactilo of the left hand with the knife,III
the mincing team wa carrying out inspections in the city of juana and wa coordinated by mining technician felipe the time when the mining technician wa last in line and more away from the team wa bitten by a blackjack on the left side of his face there wa no allergic manifestation and the team continued the work in the afternoon after lunch the employee sought medical care wa medicated and released to continue activity the next day,I
at times when the worker wa cleaning the long hole of the production mesh in negative when removing the polyethylene pipe it suffers a clogging inside the drill which product of compressed soil pressure is released by ejecting detritus and fragment of rock inside the hole impacting the worker forehead causing a cut,III
for removing the cap from the wear plate of the barman lxbb01 pump the left hand of the employee who wa with the glove slipped in to have contact with the cutting part of the board,II
during his withdrawal of iron fixed jaw wedge from the crusher 41br01 the hoisting device hook wa broken causing the steel cable of the overhead crane to strike the left hand of the employee,IV
on leaving the company the employee stumbled onto an exit ladder of the building and fell on step causing twisting of the ankle and grating on the cinnamon,IV
during ore transport work from op to line after crew filled the tenth mining car with ore the assistant positioned on the platform of the hopper op2 place a wooden board between the piston of the chain to avoid the fall of fine into the track at which time a fragment of rock 10cmx8cm xu am 14 keg roll by the load and hit the distal phalanx of the fourth finger of the left hand the assistant at the time of the accident wa wearing safety glove pad type the hopper op2 at the time when the accident wa with zero energy,IV
in circumstance the drilling assistant proceeded to assemble the inner tube to the barely the injured person retracts the inner tube head to throw it manually towards the top of the catheter inclination 3 to continue with the perforation in that moment the glove of their left worker is hooked in the spear point pushing his left hand until the edge of the box of the barel originating the injury at the time of the accident the injured employee used his rubber glove and the work area wa well lit,IV
the employee my milton made the opening of my visit to unclog at this barely occurred projection of hot material occurring the accident,III
while maintaining the ramp 604 when placing the first cloth for the overlap with the plastic mesh the operator will check the work front then return to the back of the team to coordinate with her assistant at which time a fragment of rock weight 042 keg of the nonsustained area will be detached which impact on the arm of the team and reaching by bounce the collaborator causing the injury the one involved made use of all their epps at the time of the incident the assistant wa in the back of the team preparing the support mesh,IV
at level 3450 access 4 a the operator of the scissor 200 performed the support of the crown at which time another piece of rock 13cmx6cmx2cm big pass between the cicada of the support mesh from a height of 160 meter towards that platform of the team breaking into particle one of which reach his right eye causing the injury,III
at level 2995 access 6 a while the operator of the scissor 187 carried out the support of the right gable from the platform it is arranged a place the split set in the drill in the squat position to be introduced by the bolt moment in which the which between the cicada of the support mesh fall from the crown a piece of rock 5cmx4cmx2cm 112gr reaching an approximate height of am impacting on the cervical region of the collaborator causing the lesion described at the time of the accident the crown wa held and the collaborator used his safety glass and glove,III
the employee wa performing cutting activity on a carbon steel pipe attached to the band saw that due to uneven air distribution the tube moved downward and the other end wa projected upwards pressing the thumb,III
the servant would remove the dish from the bowl above the sink and when picking up a set of plate there wa one of them with the broken broken edge resulting injury to his ord chiropactyl from his right hand,II
at time when the collaborator wa performing the evacuation of inchancables from the mine present in strip 1 of phase he notice a piece of support mesh positioned between the frame and the return belt after several attempt to remove the mesh with the belt in movement and using a metal rake a support the mesh yield moving in the direction of rotation of the return belt hitting the collaborator hand against the metal structure causing contusion in the left thumb at the time of the accident the employee used his leather glove,IV
once the topographic survey in the stop 440 east zone the victim and his coworker decide to continue with their work in the stp 440 west for this the injured person walk behind the coworker 10 to 15 meter when they at the loading zone intersection rap 175 and it 440 the injured person asks the scoop operator to stop to pas once the equipment is stopped the victim pass behind his partner stuck to the gable trying to avoid the accumulation of water when he take the third step into the puddle the injured person step on the false and fall to the floor causing the injury,II
the employee report that after carrying out activity in the area of the expedition managed to remove the overall equipment had contact with material that contaminated the sleeve which caused est degree burn in the right forearm,II
at 2250 hour in row 12 when the cell suction partner remove the suction hose untimely water water electrolyte solution in the left eye immediately he wa referred to the medical service,II
during the execution of the area cleaning activity using a rifle the employee hit against a fixed metal structure in the area coming to reach the abdomen on the head,II
collaborator wa pumps the sink of the copper repulsing area at the moment of filling the truck with the shovel he project sludge towards the lens soiling them and obstructing vision the worker indicates that when removing the lens to clean this some mud particle enter the left eye causing discomfort it is referred to the medical center for the corresponding attention,II
the clerk wa cutting the excess fiberglass onto a passing box and had contact with the blade of his marble saw which cut the glove and caused a wound in his right hand,IV
at level 4150 80 union plant the collaborator wa doing shuttering work in the concrete water sedimentation basin at the moment about nailing a wood a it supply on another 4 i 4 inch strip he feel that the metallic joints loosen the wooden handle and to fix it he grab the hammer by the head and hit the handle vertically on a wood generating the injury at the time of the accident the employee did not use his safety glove,I
on the surface in the dining room of employee of the unit apartment the collaborator performed the chicken rehabilitation for lunch using a kitchen knife it come into contact with the distal part of the second finger of the left hand causing the injury described during the accident the employee did not use his specific height glove to this type of work,III
during the maintenance work of the vertical pump 8 of zinc concentrate the three mechanic were performing lifting maneuver to be able to position the pump to the drawer instant in which the pump becomes clogged by the reduced space of the work area and in order to release the pump they place a young couple in the lower part at which time she is released and turn untimely hitting the middle finger of the injured person in hand against a 12 teller hose,IV
in section 75 in row 12 cell 36 the worker performs extra lifting to correct short circuit using the auxiliary hoist and auxiliary sling at which time the sling is released from the anode and hit the back of the right hand causing it the injury worker is seen in the medical and transferred to a clinic for external evaluation,IV
the hit list of the area of the survey radio operator slipped in the foliage of the leucas and fell,II
by participating in the general odds held in the staging area of the lower locker room the employee wa bitten by a bee,II
the employee report that when performing the maintenance activity of pump on the tunnel of the tc020 a he wa pulling out the rotor cutting the piece with the mallet that slipped from his hand reaching the lower part of the left leg causing the injury,II
when trying to release the pipe hop pipe him long and 2 diameter stuck in the support mesh the master loader as his assistant pull the pipe to release it when the pipe is released hit the lateral part of the cheekbone and the eyelid the right generating the described injury,IV
in the city of conchucos of encash participating in a national feast celebrating the company wa mounted on a horse a part of the celebrations throwing fruit and toy to the people attending this public event the noise of the material pyrotechnic and people trying to collect the gift caused the horse in front and very close to her horse to be frightened and kicked back hitting the lower limb,IV
employee wa removing the strap from a chemical container till it projected toward him reaching his lower lip with anterior chest the strap wa contaminated with caustic soda and caused a est degree burn,II
upon cutting the vegetation to open the bite using a sickle the assistant struck the vine twice when the liana ruptured the top of the branch projected against the face of the spike causing the cut in the upper lip,I
on september 17 2016 at approximately during the preventive maintenance of the g2142 debarking machine the bearing assembly is made on the anode cleaning roller when fitting the bearing in it final position the staff used a chisel and a pound rope to position the bearing the worker place his left paw near the head of the chisel and warp in these circumstance a splinter is embedded in the proximal part of the thumb of the left hand immediately their collaborator communicates to the supervisor and is evacuated to the medical for review,II
employee report that he wa knew the existence of a borehole of a tubing in the thermal recovery boiler of the undulation area through the side window when he wa struck by projection of the air that reached his face and right forearm,IV
collaborator around cleaning the leaf of the return well of the 5021 borehole where she slipped on the canvas that wa on the edge of the well hitting the right side of the back against the metal structure of the mudswathed box causing a slight exhortation the employee wa referred to the local hospital medicated and released for the activity,I
the employee wa performing maintenance of the blower when the residual visual projection occurred on his face in an attempt to remove to the injured person ha had contact with contaminated glove with the right eye causing irritation,II
the lubricating technician alfredo made the oil filling to the reducer d100 under which he notice an oil leak tearing between the connection of the hose and the reducer correcting the leak that the work is finished he go to the lubricant workshop where he remove the glove and observes that both hand are affected by contact with the hot surface and go to the medical center where he wa treated,II
during the maintenance with the access at the moment the assistant place the mini split set in the adapter the clamp which wa locked return to it initial position hitting the collaborator hand causing the described injury during the time of the accident the team wa in a sustained area the arm of the jumbo wa at a height of 080m from the floor and the employee wa wearing rubber glove,III
employee wa preparing rice using a utensil type skimmer to stir inside for pressure cooker when part of the cable broke reaching it hand causing a blunt he,III
in circumstance in which the operator of bolter i 8 went down the ladder to the height of the resting platform at 080 i floor level slip off balance by hitting your back against the handrail of main operator door at the time of the hit the injured person used all his epps,IV
the technician operator when heading towards the zone of lifting container of dust of zinc in the area 50 us a space between base of tranqued and sardine slipping in the edge and raspandose left side of thorax he wa treated at the medical center with local treatment returning to his job area,III
at 14 oh on 27 september a worker from confipetrol carried out industrial cleaning of the outside of the acid reduction tank d2055 to check the progress of the helmet mask moment that hose a wa released that wa secured with pressure clamp for water and air filters lip,II
being approximately marco and sido so they were performing the pipe standardization of the ex 771 cx983 no 1940 in moment that marco lift the air pipe over the spike this time and the pipe impact on the worker safety guard,II
being behind approximately the mechanic wa removing the last bolt of the 6 nipple in the pump 4115 lime feeder reactive area the mechanic stands positioned slightly flexing the leg and performs upward force with both hand in that moment feel a pain and a spume in the right thigh the mechanic is evacuated with the help of his colleague to the medical post,I
being working in the maintenance workshop of the ee union in circumstance that two mechanical technician placed the protective plate 30 keg of the minaret 111 fuel tank at the moment of attempting to bolt this protective plate it slip from the hand of one of them falling directly on the instep of the left foot causing the collapse described,III
being in the i in the no 1710 ex 018 the minaret operator wa washing the mixkret 116 with a hose with water pressure pressure it is necessary to scan the location from the right side to the left and he proceeds to pull the hose then slip and feel that the left foot bend,II
after carrying out this supply operation of the zinc powder container using the crane to move it the employee closed the lower lock of this same container and when making the movement to slide the lock made an excessive effort with the thumb of the right hand causing sprain,III
during the withdrawal of cathode sample the employee came to press the finger with the tool of cut the blade,II
at the intersection of level 3970 main road and access to the south ramp the collaborator after having freed the tube 2 inch in diameter from the gable descended holding the pipe on the fourth step of a telescopic aluminum ladder approximately at 120 meter from the floor at which point another clamping point to the gable is lifted by lifting the tube which pull the worker causing him to lose balance and fall from this height of 120 meter the described injury occurring,IV
in the probe 5068 bore bapdd00146 around 1500 hour the polling assistant luciano da silva performing the maneuver of descending rod led the rod to the gutter but this afternoon not leaning suitably on to escape the gutter returning toward the easel his hand had slipped and his little finger wa between the rod and the easel realizing that the shaft had returned he released it immediately but his little finger wa partially hit by the rim of the rod against the easel resulting in a cut the auxiliary wa taken to hospital and attended to the wound resulted in 5 point and the wa released for administrative activity,III
at the office of incimmet in circumstance with an environment wa being set up to place cleaning rods a wooden strip wa placed between the staircase structure and the container this strip wa not cut to size so the accident victim he coordinated with his partner to put it under pressure using a hammer while holding with his right hand the frame this pressure placed strip pushed to that side of the container creating an opening between the corrugated iron and the wall at that time continuing to hit the ribbon this fall causing the wall of the container to return to it initial position pressing the tip of the little finger of the right hand against the corrugated iron causing the accident,II
in the area of equipment inspection was the staff of the avenue ee trying to remove the hydraulic hammer safety lock of the excavator the mechanical lubricator hold with his right hand a hatte chisel while the equipment mechanic hit the chisel with a pound rubber bump to remove the safety at which point one of the blow fall on the edge of the hattype protector causing it to slip and strike the fourth finger of the lubricant mechanic right hand generating the described injury at the time of the accident the lubricator mechanic had placed on the glove type pad,IV
being approx 2345 his my elise secondary crushing operator when retiring to his snack find the gate of the chute of strip 6 open and when approaching to close the gate in that at that moment the operator mr samuel who wa on the upper platform coordinate with the operator of the control room the start of strip 61 at that moment the startup product project a particle 10x6x5cm impacting by the flange or the gate and projecting to towards the height of the lens and respirator of mr eliseo,IV
wa wa doing cleaning near the area of the pneumatic conveyor when he wa hit by unknown drop of sulfuric acid on his upper lip,III
employee assisted in the support of the gate while the other the tying of the canvas in the frame and by pressing additional rope so that the canvas stretched the metal structure moved coming out of the wooden support falling and striking against the employee face causing a cut in the right of,II
in phase i the operator carried out the removal of inchancanbles of the reciprocating feeder while removing a split set with the support of a rope the staff support with left hand on the structure of the protection against falling it is at this moment that another split disc come out together with the load and hit on the distal phalanx of the fifth finger of the left hand generating the described injury,IV
in circumstance that the assistant of mine wa arranging to advance the hose of flexible nylon of 1 of diameter to proceed with the watered of shot fired positioning itself under a zone with the support deteriorated by the last blasting moment in which it give off a block of rock 25cmx10cmx5cm 35 keg of the roof of the work of a height of 52 meter which when falling hit by rebound in the left leg of mine collaborator causing this described injury,IV
inside mine during the diamond drilling of a positive 15 drill in moment when the control tube wa rescued with the fisherman the winch cable break untimely developing a whiplash effect and impacting on the ring hand of the drilling assistant causing the described injury at the time of the accident the drilling assistant wa on the platform at him from the frame and wa using his hand safety glove,IV
a the man cleaned the thermal recovery boiler using an air boom the hose loosened from the pipe connection pulled a jet of compressed air toward his right ear causing impact noise,III
in the activity of loading of explosive in front of level 326 it there wa a fall of a rock while reaching right arm of one blaster causing a cutblunt,IV
in circumstance that the mechanical technician and his work colleague arranged to accommodate the spare rollover of the small 02 on the platform of the cart on the floor the two squat collaborator decide to push one on each side at which time one edge of the rollover imprisons the third finger of left hand against the handle of the cart on the right side causing the wound on the third finger left hand at the time for the accident both employee used their respective instrument,IV
once the ore loading in the ltto locomotive wa completed the penultimate car derails ith car by the presence of fragment of rock in the railway line weight of the car with mineral 8 ton and to get it back on track the mining car the victim make use of old metal tube length 120 meter and 4 diameter to maneuver and reposition the mining car at that moment the metallic tube loses stability and imprisons the victim hand against the strut of the mining car the collaborator at the time of the event towards the use of this leather glove,IV
at a time when the heavy equipment employee got on the equipment to check the right hand headlight defective of the scooptram 181 position on the rim position 2 his left leg which slide causing the heavy equipment operator to fall from a height of 060 am,IV
in the animal farm of level 2440 the alimakero driller and his assistant are positioned in the main cage with guard head and proceed to perform the rock untie at its top of the chimney it is at this time that the teacher perceives a spark of rock in the top and communicates to the assistant so that this prevented when falling the rock of 10x080x020 i on the guard head is fragmented and one of the fragment fall on the chain and rebound rub the operator right hand generating the described injury,IV
in the activity of placing board on rack for the exchange of fabric of the filter one of the plate wa inclined trying to put the plate in the correct position the plate hand pressed the back of the right hand against the structure of left easel,IV
when observing the pulp overflow of the overflow reception drawer of the thickener the filter operator approach to verify the operation of the c726 pump making sure after it wa bucks so press the keypad to start the pump and not getting the start proceeds to remove the guard and manipulates the motor pump transmission strip being left hand imprisoned between the pulley of motor and transmission belt,V
my uncle after having completed the change of guide pole in the conveyor belt 71 the collaborator moved to the other side of the belt to remove the tell marks under the stair without getting to observe that in that moment the collaborator john dropped an inchancable of a weight approx of 15 keg from the entrance platform to the chute of discharge at a height of 180 meter the iron grazed him on the forearm finally hitting his left foot at the height of the instep,IV
when igniting into furnace 07 of the battery i there wa inches of hot gas reaching the face of the employee,II
approximately at my wilmer approach the c150 west tower for the placement of a pad to cover the entrance manhole of the tower at that moment the manhole cover resting on the railing slide impacting on his right leg,IV
being the 0130 his after the cathode go through the pre striping the sheet are detached and bend to the cathode of it position the operator with the assistant lift the cathode by the head to position it in the tranfer at that moment the detached sheet exerts pressure on the cathode hitting the palm of the left side of the operator with the head and the transfer activity is suspended and the collaborator is referred to the medical post by the head of the guard,II
